day,region,date,region_lat,region_lon,n_obs
0,Maule,3/3/2020,-35.4270536,-71.6483745,1
1,Maule,3/4/2020,-35.4270536,-71.6483745,1
1,Metropolitana,3/4/2020,-33.3923636,-70.608036,1
2,Metropolitana,3/5/2020,-33.3923636,-70.608036,1
3,Metropolitana,3/6/2020,-33.3923636,-70.608036,4
4,Maule,3/7/2020,-35.4270536,-71.6483745,1
5,Los Lagos,3/8/2020,-41.4491726,-72.9594584,1
6,Biobio,3/9/2020,-36.8249391,-73.0401338,1
6,Maule,3/9/2020,-35.4270536,-71.6483745,1
6,Metropolitana,3/9/2020,-33.3923636,-70.608036,1
7,Maule,3/10/2020,-35.4270536,-71.6483745,1
7,Metropolitana,3/10/2020,-33.3923636,-70.608036,3
8,Maule,3/11/2020,-35.4270536,-71.6483745,2
8,Metropolitana,3/11/2020,-33.3923636,-70.608036,4
9,Metropolitana,3/12/2020,-33.3923636,-70.608036,9
9,Nuble,3/12/2020,-36.6096863,-72.1279976,1
10,Biobio,3/13/2020,-36.8249391,-73.0401338,2
10,Maule,3/13/2020,-35.4270536,-71.6483745,1
10,Metropolitana,3/13/2020,-33.3923636,-70.608036,6
10,Nuble,3/13/2020,-36.6096863,-72.1279976,1
11,Antofagasta,3/14/2020,-22.4457586,-68.9203724,2
11,Atacama,3/14/2020,-27.3842181,-70.3308447,1
11,Aysen,3/14/2020,-45.2066761,-72.6862988,1
11,Maule,3/14/2020,-35.4270536,-71.6483745,1
11,Metropolitana,3/14/2020,-33.3923636,-70.608036,11
11,Nuble,3/14/2020,-36.6096863,-72.1279976,2
12,Metropolitana,3/15/2020,-33.3923636,-70.608036,14
13,Araucania,3/16/2020,-38.7369966,-72.6018527,1
13,Biobio,3/16/2020,-36.8249391,-73.0401338,1
13,Los Rios,3/16/2020,-39.8185499,-73.2417066,1
13,Metropolitana,3/16/2020,-33.3923636,-70.608036,69
13,Nuble,3/16/2020,-36.6096863,-72.1279976,8
13,Valparaiso,3/16/2020,-33.0097842,-71.5517663,1
14,Metropolitana,3/17/2020,-33.3923636,-70.608036,29
14,Nuble,3/17/2020,-36.6096863,-72.1279976,14
14,Magallanes,3/17/2020,-53.1480972,-70.9503614,2
15,Araucania,3/18/2020,-38.7369966,-72.6018527,3
15,Biobio,3/18/2020,-36.8249391,-73.0401338,3
15,Los Lagos,3/18/2020,-41.4491726,-72.9594584,7
15,Maule,3/18/2020,-35.4270536,-71.6483745,2
15,Metropolitana,3/18/2020,-33.3923636,-70.608036,22
